;Fruit;Company;Clean Format;Sum of Volume;Average of Price
;mango;;;;
;;;Slices;0 MT; 150 USD/MT
;;;;;
;;PROCESADORA LARAN SAC;;;
;;;Chunks;132 MT;1 912 USD/MT
;;;Unknown;95 MT;2 568 USD/MT
;;;;;
;;EXPORTACIONES MIRSA EMPRESA INDIVIDUAL D;;;
;;;Cubes;86 MT;2 593 USD/MT
;;;Chunks;58 MT;2 334 USD/MT
;;;Unknown;0 MT;2 300 USD/MT
;;;;;
;;SELVA INDUSTRIAL S.A.;;;
;;;Chunks;109 MT;9 953 USD/MT
;;;;;
;;UNION DE NEGOCIOS CORPORATIVOS SOCIEDAD ANONIMA CERRADA;;;
;;;Pulp;57 MT;2 333 USD/MT
;;;Chunks;40 MT;2 734 USD/MT
;;;(blank);8 MT;2 650 USD/MT
Pineappes;;;;;
;;ELITE FOOD PERU S.A.C.;;;
;;;Chunks;55 MT;2 857 USD/MT
